user_id,location,language,account_created,follower_count
user_lv0eohsw,Singapore,de,04-07-2023,25133
user_wyeb78qv,"Dubai, UAE",pt,2023-09-02,24634
user_permtl48,"  Cairo, Egypt  ",hi,2023-03-17,23881
user_qaysndm3,"Sydney, Australia",ar,2023-01-31,39448
user_v3gdku2a,"Melbourne, Australia",zh,14-Apr-2023,39286
user_njyhr041,"Manchester, UK",fr,2023-03-06,38346
user_kxujr0gz,"Los Angeles, USA",pt,2023-02-04,34963
user_7ai9sd8e,"Munich, Germany",fr,2023-05-20,8361
user_ijzzygde,"Johannesburg, South Africa",ar,2023-03-03,7394
user_azysdwyx,"Milan, Italy",es,2023-06-30,28547
user_rd4m435g,"Mumbai, India",en,2023-05-09,41448
user_rmzhp5so,SINGAPORE,ru,2023-12-06,22119
user_q2stxtlj,"Mexico City, Mexico",zh,2023-12-30,44195
user_3v5bmc1w,"Johannesburg, South Africa",ar,2023-11-22,45585
user_y5l4u31p,"Rio de Janeiro, Brazil",en,29/08/2023,44106
user_jyq7ygu9,"Delhi, India",pt,2023-03-02,9216
user_2bd09win,"Rome, Italy",en,10/08/2023,11965
user_pnb7ohhm,,ru,2023-01-16,23748
user_xe1x9bhy,Singapore,ru,26-Feb-2023,36140
user_4osioctr,"Barcelona, Spain",ja,27/05/2023,4284
user_df1ei5h3,Singapore,de,11-03-2023,13742
user_eskzkba8,"Toronto, Canada",de,09-15-2023,
user_gtz1vf91,"Barcelona, Spain",ja,2023-07-28,27386
user_xqqs2vme,"Sydney, Australia",de,2023-05-11,24857
user_t3vc5gvq,"Berlin, Germany",pt,06-11-2023,49312
user_2rs485d7,"Sydney, Australia",hi,07-15-2023,37090
user_x3ozm1i6,"Lagos, Nigeria",RU,2023-08-02,39598
user_wb863i99,"Dubai, UAE",fr,2023-01-23,36734
user_ljik1yxy,"Johannesburg, South Africa",de,25/03/2023,33695
user_7rdiojrn,"Mumbai, India",ja,2023-12-17,40870
user_yrth0u5v,"Milan, Italy",hi,2023-08-21,6499
user_z3z18l5y,"Johannesburg, South Africa",fr,2023-04-11,46150
user_n6p8x5xw,"Vancouver, Canada",pt,2023-05-16,20355
user_cju18iix,"Shanghai, China",ja,2023-02-08,20584
user_37efz59m,Singapore,pt,2023-09-02,-43780.0
user_b86ckvf0,"MILAN, ITALY",ja,2023-11-07,2730
user_kdpzdt3l,,ar,2023-10-03,8661
user_frcablkw,"Chicago, USA",hi,12-Aug-2023,21147
user_32g9y8pw,"Beijing, China",,18/08/2023,1876
user_l0mgj0v7,"Barcelona, Spain",ja,2023-10-16,35851
user_v7kjzia8,"Shanghai, China",de,08-09-2023,36584
user_xm374vm6,"Lyon, France",de,2023-05-27,15594
user_m5dvw4i8,"barcelona, spain",fr,09-30-2023,-2038.0
user_5cycq2el,"Berlin, Germany",hi,2023-07-26,37223
user_d1fuzi94,"Cairo, Egypt",ja,27/01/2023,36438
user_nkptgzfk,"Paris, France",ja,2023-09-09,38786
user_edi9lmxp,"Madrid, Spain",de,2023-10-04,22782
user_kk1qdsq3,"New York, USA",ru,27-Dec-2023,32189
user_q3u3lr0c,"Osaka, Japan",de,11-02-2023,14862
user_30jx467t,"Rio de Janeiro, Brazil",zh,2023-03-16,26128
user_bxh59css,"Rome, Italy",en,2023-10-22,34876
user_q3vs0uj7,"Manchester, UK",jaa,2023-01-12,32714
